0,1,2
DOBUR,DOĞAN BURDA DERGİ YAYINCILIK VE PAZARLAMA A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
DDTCR,DOĞAN DIŞ TİCARET VE MÜMESSİLLİK A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
DOHOL,DOĞAN ŞİRKETLER GRUBU HOLDİNG A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
DTRND,DOĞAN TREND OTOMOTİV TİCARET HİZMET VE TEKNOLOJİ A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
DGNMO,DOĞANLAR MOBİLYA GRUBU İMALAT SANAYİ VE TİCARET A.Ş.,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
ARASE,DOĞU ARAS ENERJİ YATIRIMLARI A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
DOGUB,DOĞUSAN BORU SANAYİİ VE TİCARET A.Ş.,REPORT BAĞIMSIZ DENETİM A.Ş.
DGGYO,DOĞUŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
DOAS,DOĞUŞ OTOMOTİV SERVİS VE TİCARET A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
DFKTR,DORUK FAKTORİNG A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
DOKTA,DÖKTAŞ DÖKÜMCÜLÜK TİCARET VE SANAYİ A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
DURDO,DURAN DOĞAN BASIM VE AMBALAJ SANAYİ A.Ş.,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
DNYVA,DÜNYA VARLIK YÖNETİM A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
DYOBY,DYO BOYA FABRİKALARI SANAYİ VE TİCARET A.Ş.,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
EDATA,E-DATA TEKNOLOJİ PAZARLAMA A.Ş.,DENGE ANKARA BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
EBEBK,EBEBEK MAĞAZACILIK A.Ş.,
ECZYT,ECZACIBAŞI YATIRIM HOLDİNG ORTAKLIĞI A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
EDIP,EDİP GAYRİMENKUL YATIRIM SANAYİ VE TİCARET A.Ş.,MGI BAĞIMSIZ DENETİM A.Ş.
EGEEN,EGE ENDÜSTRİ VE TİCARET A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
EGGUB,EGE GÜBRE SANAYİİ A.Ş.,REANDA AREN BAĞIMSIZ DENETİM VE SMMM A.Ş.
EGPRO,EGE PROFİL TİCARET VE SANAYİ A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
EGSER,EGE SERAMİK SANAYİ VE TİCARET A.Ş.,AS BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
EPLAS,EGEPLAST EGE PLASTİK TİCARET VE SANAYİ A.Ş.,EREN BAĞIMSIZ DENETİM A.Ş.
ECILC,EİS ECZACIBAŞI İLAÇ SINAİ VE FİNANSAL YATIRIMLAR SANAYİ VE TİCARET A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
EKIZ,EKİZ KİMYA SANAYİ VE TİCARET A.Ş.,HLB SAYGIN BAĞIMSIZ DENETİM A.Ş.
EKOFA,EKO FAKTORİNG A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
EKSUN,EKSUN GIDA TARIM SANAYİ VE TİCARET A.Ş.,VEZİN BAĞIMSIZ DENETİM A.Ş.
ELITE,ELİTE NATUREL ORGANİK GIDA SANAYİ VE TİCARET A.Ş.,KARAR BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
EMKEL,EMEK ELEKTRİK ENDÜSTRİSİ A.Ş.,KARAR BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
EMNIS,EMİNİŞ AMBALAJ SANAYİ VE TİCARET A.Ş.,ELİT BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
EMIRV,EMİR VARLIK YÖNETİM A.Ş.,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
EKTVK,EMLAK KATILIM VARLIK KİRALAMA A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
EKGYO,EMLAK KONUT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
EMVAR,EMLAK VARLIK KİRALAMA A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
ENJSA,ENERJİSA ENERJİ A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
ENERY,ENERYA ENERJİ A.Ş.,FİNANSAL EKSEN BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
ENKAI,ENKA İNŞAAT VE SANAYİ A.Ş.,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
ENSRI,ENSARİ DERİ GIDA SANAYİ VE TİCARET A.Ş.,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
ERBOS,ERBOSAN ERCİYAS BORU SANAYİİ VE TİCARET A.Ş.,FİNANSAL EKSEN BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
ERCB,ERCİYAS ÇELİK BORU SANAYİ A.Ş.,İRFAN BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
EREGL,EREĞLİ DEMİR VE ÇELİK FABRİKALARI T.A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
ERGLI,EREĞLİ TEKSTİL TURİZM SANAYİ VE TİCARET A.Ş.,AKSİS ULUSLARARASI BAĞIMSIZ DENETİM A.Ş.
KIMMR,ERSAN ALIŞVERİŞ HİZMETLERİ VE GIDA SANAYİ TİCARET A.Ş.,BOĞAZİÇİ BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
ERSU,ERSU MEYVE VE GIDA SANAYİ A.Ş.,NOTE OFFİCE ULUSLARARASI BAĞIMSIZ DENETİM DANIŞMANLIK VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
ESCAR,ESCAR FİLO KİRALAMA HİZMETLERİ A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
ESCOM,ESCORT TEKNOLOJİ YATIRIM A.Ş.,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
ESEN,ESENBOĞA ELEKTRİK ÜRETİM A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
ETILR,ETİLER GIDA VE TİCARİ YATIRIMLAR SANAYİ VE TİCARET A.Ş.,VEZİN BAĞIMSIZ DENETİM A.Ş.
EUKYO,EURO KAPİTAL YATIRIM ORTAKLIĞI A.Ş.,GÜNCEL BAĞIMSIZ DENETİM DANIŞMANLIK A.Ş.
EUYO,EURO MENKUL KIYMET YATIRIM ORTAKLIĞI A.Ş.,GÜNCEL BAĞIMSIZ DENETİM DANIŞMANLIK A.Ş.
ETYAT,EURO TREND YATIRIM ORTAKLIĞI A.Ş.,GÜNCEL BAĞIMSIZ DENETİM DANIŞMANLIK A.Ş.
EUHOL,EURO YATIRIM HOLDİNG A.Ş.,GÜNCEL BAĞIMSIZ DENETİM DANIŞMANLIK A.Ş.
TEZOL,EUROPAP TEZOL KAĞIT SANAYİ VE TİCARET A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
EUREN,EUROPEN ENDÜSTRİ İNŞAAT SANAYİ VE TİCARET A.Ş.,C&Ç BAĞIMSIZ DENETİM VE YÖNETİM DANIŞMANLIĞI A.Ş.
EUPWR,EUROPOWER ENERJİ VE OTOMASYON TEKNOLOJİLERİ SANAYİ TİCARET A.Ş.,DENEYİM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
EYGYO,EYG GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,VİZYON GRUP BAĞIMSIZ DENETİM.A.Ş.
FADE,FADE GIDA YATIRIM SANAYİ TİCARET A.Ş.,ARTI DEĞER ULUSLARARASI BAĞIMSIZ DENETİM VE YMM A.Ş.
FSDAT,FASDAT GIDA DAĞITIM SANAYİ VE TİCARET A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
FMIZP,FEDERAL-MOGUL İZMİT PİSTON VE PİM ÜRETİM TESİSLERİ A.Ş.,EREN BAĞIMSIZ DENETİM A.Ş.
FENER,FENERBAHÇE FUTBOL A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
FIBAF,FİBA FAKTORİNG A.Ş.,RSM TURKEY ARKAN ERGİN ULUSLARARASI BAĞIMSIZ DENETİM A.Ş.
"FBB, FBBNK",FİBABANKA A.Ş.,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
FLAP,FLAP KONGRE TOPLANTI HİZMETLERİ OTOMOTİV VE TURİZM A.Ş.,KARAR BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
FONET,FONET BİLGİ TEKNOLOJİLERİ A.Ş.,EREN BAĞIMSIZ DENETİM A.Ş.
FROTO,FORD OTOMOTİV SANAYİ A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
FORMT,FORMET METAL VE CAM SANAYİ A.Ş.,DENEYİM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
FORTE,FORTE BİLGİ İLETİŞİM TEKNOLOJİLERİ VE SAVUNMA SANAYİ A.Ş.,RAM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
FRIGO,FRİGO-PAK GIDA MADDELERİ SANAYİ VE TİCARET A.Ş.,ÇÖZÜM ÜNLÜER BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
FZLGY,FUZUL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,VİZYON GRUP BAĞIMSIZ DENETİM.A.Ş.
GWIND,GALATA WIND ENERJİ A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
GSRAY,GALATASARAY SPORTİF SINAİ VE TİCARİ YATIRIMLAR A.Ş.,EREN BAĞIMSIZ DENETİM A.Ş.
GAPIN,GAP İNŞAAT YATIRIM VE DIŞ TİCARET A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
GARFA,GARANTİ FAKTORİNG A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
GARFL,GARANTİ FİLO YÖNETİM HİZMETLERİ A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
GRFIN,GARANTİ FİNANSAL KİRALAMA A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
GRNYO,GARANTİ YATIRIM ORTAKLIĞI A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
GEDIK,GEDİK YATIRIM MENKUL DEĞERLER A.Ş.,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
GEDZA,GEDİZ AMBALAJ SANAYİ VE TİCARET A.Ş.,YKY BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
GLCVY,GELECEK VARLIK YÖNETİMİ A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
GENIL,GEN İLAÇ VE SAĞLIK ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.,EREN BAĞIMSIZ DENETİM A.Ş.
GENTS,GENTAŞ DEKORATİF YÜZEYLER SANAYİ VE TİCARET A.Ş.,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
GEREL,GERSAN ELEKTRİK TİCARET VE SANAYİ A.Ş.,VENTERA BAĞIMSIZ DENETİM A.Ş.
GZNMI,GEZİNOMİ SEYAHAT TURİZM TİCARET A.Ş.,HLB SAYGIN BAĞIMSIZ DENETİM A.Ş.
GMTAS,GİMAT MAĞAZACILIK SANAYİ VE TİCARET A.Ş.,DENEYİM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
GESAN,GİRİŞİM ELEKTRİK SANAYİ TAAHHÜT VE TİCARET A.Ş.,DENEYİM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
"GLB, GLBMD",GLOBAL MENKUL DEĞERLER A.Ş.,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
GLYHO,GLOBAL YATIRIM HOLDİNG A.Ş.,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
GGBVK,GOLDEN GLOBAL VARLIK KİRALAMA A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
GSIPD,GOLDMAN SACHS INTERNATIONAL,
GOODY,GOODYEAR LASTİKLERİ T.A.Ş.,BDO DENET BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
GOKNR,GÖKNUR GIDA MADDELERİ ENERJİ İMALAT İTHALAT İHRACAT TİCARET VE SANAYİ A.Ş.,EREN BAĞIMSIZ DENETİM A.Ş.
GOLTS,GÖLTAŞ GÖLLER BÖLGESİ ÇİMENTO SANAYİ VE TİCARET A.Ş.,BDO DENET BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
GOZDE,GÖZDE GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
GRTRK,GRAINTURK TARIM A.Ş.,AKADEMİK BAĞIMSIZ DENETİM A.Ş.
GSDDE,GSD DENİZCİLİK GAYRİMENKUL İNŞAAT SANAYİ VE TİCARET A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
GSDHO,GSD HOLDİNG A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
GUBRF,GÜBRE FABRİKALARI T.A.Ş.,EREN BAĞIMSIZ DENETİM A.Ş.
GLRYH,GÜLER YATIRIM HOLDİNG A.Ş.,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
GRSEL,GÜR-SEL TURİZM TAŞIMACILIK VE SERVİS TİCARET A.Ş.,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
SAHOL,HACI ÖMER SABANCI HOLDİNG A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
HALKF,HALK FİNANSAL KİRALAMA A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
HLGYO,HALK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
HLVKS,HALK VARLIK KİRALAMA A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
"HALKI, HLY",HALK YATIRIM MENKUL DEĞERLER A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
HATEK,HATEKS HATAY TEKSTİL İŞLETMELERİ A.Ş.,KARAR BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
HDFFL,HEDEF ARAÇ KİRALAMA VE SERVİS A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
HDFGS,HEDEF GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,HSY DANIŞMANLIK VE BAĞIMSIZ DENETİM A.Ş.
HEDEF,HEDEF HOLDİNG A.Ş.,HSY DANIŞMANLIK VE BAĞIMSIZ DENETİM A.Ş.
HEKTS,HEKTAŞ TİCARET T.A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
HKTM,HİDROPAR HAREKET KONTROL TEKNOLOJİLERİ MERKEZİ SANAYİ VE TİCARET A.Ş.,NOTE OFFİCE ULUSLARARASI BAĞIMSIZ DENETİM DANIŞMANLIK VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
HTTBT,HİTİT BİLGİSAYAR HİZMETLERİ A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
HUBVC,HUB GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,ANALİZ BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
HUNER,HUN YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,BM BAĞIMSIZ DENETİM A.Ş.
HUZFA,HUZUR FAKTORİNG A.Ş.,HSY DANIŞMANLIK VE BAĞIMSIZ DENETİM A.Ş.
HURGZ,HÜRRİYET GAZETECİLİK VE MATBAACILIK A.Ş.,VİZYON GRUP BAĞIMSIZ DENETİM.A.Ş.
"ICB, ICBCT",ICBC TURKEY BANK A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
ICUGS,ICU GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,BİRLEŞİM NEKS BAĞIMSIZ DENETİM A.Ş.
INGRM,INGRAM MİCRO BİLİŞİM SİSTEMLERİ A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
INVEO,INVEO YATIRIM HOLDİNG A.Ş.,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
INVES,INVESTCO HOLDİNG A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
ISKPL,IŞIK PLASTİK SANAYİ VE DIŞ TİCARET PAZARLAMA A.Ş.,EREN BAĞIMSIZ DENETİM A.Ş.
IEYHO,IŞIKLAR ENERJİ VE YAPI HOLDİNG A.Ş.,BİRLEŞİK EKOL BAĞIMSIZ DENETİM A.Ş.
IDEAS,İDEAL FİNANSAL TEKNOLOJİLER VE DANIŞMANLIK A.Ş.,HSY DANIŞMANLIK VE BAĞIMSIZ DENETİM A.Ş.
IDGYO,İDEALİST GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,KARAR BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
IHEVA,İHLAS EV ALETLERİ İMALAT SANAYİ VE TİCARET A.Ş.,KAİZEN BAĞIMSIZ DENETİM A.Ş.
IHLGM,İHLAS GAYRİMENKUL PROJE GELİŞTİRME VE TİCARET A.Ş.,KAİZEN BAĞIMSIZ DENETİM A.Ş.
IHGZT,İHLAS GAZETECİLİK A.Ş.,KAİZEN BAĞIMSIZ DENETİM A.Ş.
IHAAS,İHLAS HABER AJANSI A.Ş.,KAİZEN BAĞIMSIZ DENETİM A.Ş.
IHLAS,İHLAS HOLDİNG A.Ş.,KAİZEN BAĞIMSIZ DENETİM A.Ş.
IHYAY,İHLAS YAYIN HOLDİNG A.Ş.,KAİZEN BAĞIMSIZ DENETİM A.Ş.
IMASM,İMAŞ MAKİNA SANAYİ A.Ş.,TTK BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
INALR,İNALLAR OTOMOTİV SANAYİ VE TİCARET A.Ş.,KARAR BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
INDES,İNDEKS BİLGİSAYAR SİSTEMLERİ MÜHENDİSLİK SANAYİ VE TİCARET A.Ş.,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
"INFO, IYF",İNFO YATIRIM MENKUL DEĞERLER A.Ş.,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
INTEM,İNTEMA İNŞAAT VE TESİSAT MALZEMELERİ YATIRIM VE PAZARLAMA A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
IPEKE,İPEK DOĞAL ENERJİ KAYNAKLARI ARAŞTIRMA VE ÜRETİM A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
ISDMR,İSKENDERUN DEMİR VE ÇELİK A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
ISFIN,İŞ FİNANSAL KİRALAMA A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
ISGYO,İŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
ISGSY,İŞ GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
"ISMEN, IYM",İŞ YATIRIM MENKUL DEĞERLER A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
ISYAT,İŞ YATIRIM ORTAKLIĞI A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
ISBIR,İŞBİR HOLDİNG A.Ş.,EREN BAĞIMSIZ DENETİM A.Ş.
ISSEN,İŞBİR SENTETİK DOKUMA SANAYİ A.Ş.,EREN BAĞIMSIZ DENETİM A.Ş.
ITTFH,İTTİFAK HOLDİNG A.Ş.,TTK BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
IZINV,İZ YATIRIM HOLDİNG A.Ş.,SGD BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
IZENR,İZDEMİR ENERJİ ELEKTRİK ÜRETİM A.Ş.,HSY DANIŞMANLIK VE BAĞIMSIZ DENETİM A.Ş.
IZMDC,İZMİR DEMİR ÇELİK SANAYİ A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
IZFAS,İZMİR FIRÇA SANAYİ VE TİCARET A.Ş.,GÖRÜŞ BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
JANTS,JANTSA JANT SANAYİ VE TİCARET A.Ş.,ÇÖZÜM ÜNLÜER BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
KFEIN,KAFEİN YAZILIM HİZMETLERİ TİCARET A.Ş.,KAVRAM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
KLKIM,KALEKİM KİMYEVİ MADDELER SANAYİ VE TİCARET A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
KLSER,KALESERAMİK ÇANAKKALE KALEBODUR SERAMİK SANAYİ A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
KLVKS,KALKINMA YATIRIM VARLIK KİRALAMA A.Ş.,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
"KAPTESTAS001, TRAKAPTEST01",KAP TEST A.Ş.,KAP TEST BAĞIMSIZ DENETİM A.Ş.
KAPLM,KAPLAMİN AMBALAJ SANAYİ VE TİCARET A.Ş.,RSM TURKEY ARKAN ERGİN ULUSLARARASI BAĞIMSIZ DENETİM A.Ş.
"KRDMA, KRDMB, KRDMD",KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KAREL,KAREL ELEKTRONİK SANAYİ VE TİCARET A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
KARSN,KARSAN OTOMOTİV SANAYİİ VE TİCARET A.Ş.,BDO DENET BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
KRTEK,KARSU TEKSTİL SANAYİİ VE TİCARET A.Ş.,YKY BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
KARYE,KARTAL YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,BM BAĞIMSIZ DENETİM A.Ş.
KARTN,KARTONSAN KARTON SANAYİ VE TİCARET A.Ş.,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
KATVK,KATILIM VARLIK KİRALAMA A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KTLEV,KATILIMEVİM TASARRUF FİNANSMAN A.Ş.,AKSİS ULUSLARARASI BAĞIMSIZ DENETİM A.Ş.
KATMR,KATMERCİLER ARAÇ ÜSTÜ EKİPMAN SANAYİ VE TİCARET A.Ş.,AKSİS ULUSLARARASI BAĞIMSIZ DENETİM A.Ş.
