0,1,2
CMBTN,ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET A.Ş.,BDO DENET BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
CMENT,ÇİMENTAŞ İZMİR ÇİMENTO FABRİKASI T.A.Ş.,BDO DENET BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
CIMSA,ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
CUSAN,ÇUHADAROĞLU METAL SANAYİ VE PAZARLAMA A.Ş.,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
DYBNK,D YATIRIM BANKASI A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
DAGI,DAGİ GİYİM SANAYİ VE TİCARET A.Ş.,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
DAGHL,DAGİ YATIRIM HOLDİNG A.Ş.,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
DAPGM,DAP GAYRİMENKUL GELİŞTİRME A.Ş.,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
DARDL,DARDANEL ÖNENTAŞ GIDA SANAYİ A.Ş.,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
DGATE,DATAGATE BİLGİSAYAR MALZEMELERİ TİCARET A.Ş.,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
DGRVK,DEĞER VARLIK KİRALAMA A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
DMSAS,DEMİSAŞ DÖKÜM EMAYE MAMÜLLERİ SANAYİ A.Ş.,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
DENGE,DENGE YATIRIM HOLDİNG A.Ş.,MİTRA BAĞIMSIZ DENETİM A.Ş.
DENFA,DENİZ FAKTORİNG A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
DNFIN,DENİZ FİNANSAL KİRALAMA A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
DZGYO,DENİZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
"DZY, DZYMK",DENİZ YATIRIM MENKUL KIYMETLER A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
"DENIZ, DNZ",DENİZBANK A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
DERIM,DERİMOD KONFEKSİYON AYAKKABI DERİ SANAYİ VE TİCARET A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
DERHL,DERLÜKS YATIRIM HOLDİNG A.Ş.,RSM TURKEY ARKAN ERGİN ULUSLARARASI BAĞIMSIZ DENETİM A.Ş.
DESA,DESA DERİ SANAYİ VE TİCARET A.Ş.,BİRLEŞİM NEKS BAĞIMSIZ DENETİM A.Ş.
DESPC,DESPEC BİLGİSAYAR PAZARLAMA VE TİCARET A.Ş.,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
DTYGD,DETAY GIDA SANAYİ VE TİCARET A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
DEVA,DEVA HOLDİNG A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
DNISI,DİNAMİK ISI MAKİNA YALITIM MALZEMELERİ SANAYİ VE TİCARET A.Ş.,HSY DANIŞMANLIK VE BAĞIMSIZ DENETİM A.Ş.
DIRIT,DİRİTEKS DİRİLİŞ TEKSTİL SANAYİ VE TİCARET A.Ş.,AAC BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
DITAS,DİTAŞ DOĞAN YEDEK PARÇA İMALAT VE TEKNİK A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
DOCO,DO & CO AKTIENGESELLSCHAFT,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
